  Ex = [mV]  ,  Ey = [mV]  ,Hx = [mV]  ,Hy = [mV]  ,Hz = [mV]  
  0.9216233  ,  -0.1223755  ,  -0.769043  ,  1.358032  ,  -37.25095  
  0.8801261  ,  -0.1281738  ,  0.2563477  ,  1.99585  ,  -36.86493  
  0.8415241  ,  -0.1495361  ,  0.1983643  ,  2.01416  ,  -37.82998  
  0.9698758  ,  -0.1522827  ,  0.4302979  ,  2.078247  ,  -38.40901  
  1.128144  ,  -0.1263428  ,  0.7324219  ,  2.212524  ,  -38.1195  
  1.023919  ,  -0.1101685  ,  0.8575439  ,  2.093506  ,  -38.02299  
  1.075066  ,  -8.392334E-02  ,  1.089478  ,  1.965332  ,  -38.50552  
  1.033569  ,  -9.643555E-02  ,  0.9735107  ,  1.855469  ,  -41.78669  
  0.9785613  ,  -0.1016235  ,  0.1068115  ,  1.208496  ,  -40.91814  
  1.389673  ,  -2.197266E-02  ,  1.269531  ,  1.837158  ,  -41.20766  
  1.659887  ,  -7.324219E-03  ,  3.866577  ,  3.326416  ,  -35.70687  
  1.607774  ,  -1.800537E-02  ,  3.735352  ,  3.19519  ,  -37.82998  
  1.743846  ,  1.251221E-02  ,  2.822876  ,  2.926636  ,  -35.89988  
  1.904045  ,  3.723145E-02  ,  2.597046  ,  2.868652  ,  -35.03133  
  2.017921  ,  6.378174E-02  ,  3.900146  ,  3.079224  ,  -32.5222  
  1.91659  ,  2.532959E-02  ,  3.909302  ,  2.886963  ,  -32.71521  
  1.62418  ,  8.239746E-03  ,  3.137207  ,  2.105713  ,  -30.4956  
  1.638656  ,  3.753662E-02  ,  3.039551  ,  1.751709  ,  -29.62705  
  2.084509  ,  0.1016235  ,  3.970337  ,  2.203369  ,  -27.11792  
  2.299716  ,  0.1306152  ,  4.711914  ,  2.578735  ,  -27.50394  
  2.360514  ,  9.857178E-02  ,  5.081177  ,  2.819824  ,  -26.44238  
  2.267869  ,  6.958008E-02  ,  4.553223  ,  2.508545  ,  -21.23111  
  2.227337  ,  7.568359E-02  ,  4.382324  ,  2.29187  ,  -22.8717  
  2.600811  ,  0.1153564  ,  4.302979  ,  2.484131  ,  -28.37248  
  2.57186  ,  0.1028442  ,  4.177856  ,  2.377319  ,  -31.75016  
  2.827598  ,  0.1211548  ,  3.656006  ,  2.44751  ,  -30.97812  
  2.847864  ,  0.140686  ,  3.500366  ,  2.124023  ,  -29.62705  
  2.910593  ,  0.2249146  ,  4.940796  ,  2.304077  ,  -23.93325  
  2.869095  ,  0.218811  ,  4.956055  ,  2.227783  ,  -26.53889  
  2.801542  ,  0.223999  ,  5.130005  ,  2.197266  ,  -25.86335  
  2.728198  ,  0.1675415  ,  4.537964  ,  1.94397  ,  -26.6354  
  2.822773  ,  0.1257324  ,  3.765869  ,  1.818848  ,  -25.86335  
  2.94823  ,  0.1312256  ,  3.594971  ,  1.925659  ,  -27.02141  
  3.175982  ,  0.1977539  ,  4.000854  ,  2.178955  ,  -26.05636  
  3.300473  ,  0.2578735  ,  4.324341  ,  2.120972  ,  -23.93325  
  3.284067  ,  0.317688  ,  4.498291  ,  1.315308  ,  -17.08139  
  3.53691  ,  0.2709961  ,  3.909302  ,  1.306152  ,  -14.57226  
  3.664297  ,  0.2307129  ,  3.213501  ,  1.791382  ,  -14.18624  
  3.291787  ,  0.2178955  ,  3.259277  ,  1.901245  ,  -17.37091  
  3.103603  ,  0.2041626  ,  3.067017  ,  1.654053  ,  -21.81014  
  3.065001  ,  0.1757813  ,  2.91748  ,  1.950073  ,  -24.60879  
  3.023504  ,  0.1599121  ,  2.758789  ,  1.846313  ,  -27.79346  
  2.804437  ,  8.483887E-02  ,  1.382446  ,  1.409912  ,  -22.29267  
  2.739779  ,  0.1037598  ,  0.7385254  ,  0.7843018  ,  -17.2744  
  3.223269  ,  0.2700806  ,  2.55127  ,  0.9765625  ,  -13.3177  
  3.222304  ,  0.2597046  ,  2.508545  ,  0.9094238  ,  -16.79188  
  3.488658  ,  0.2401733  ,  2.386475  ,  1.278687  ,  -20.36257  
  3.52726  ,  0.2075195  ,  1.870728  ,  1.382446  ,  -22.48568  
  3.404698  ,  0.2130127  ,  1.635742  ,  1.376343  ,  -22.29267  
  3.137379  ,  0.2182007  ,  1.983643  ,  1.300049  ,  -23.83675  
  2.919278  ,  0.1821899  ,  2.233887  ,  1.123047  ,  -23.83675  
  2.920243  ,  0.1403809  ,  1.806641  ,  1.165771  ,  -24.31927  
  2.813123  ,  0.1226807  ,  1.63269  ,  1.202393  ,  -23.93325  
  2.817948  ,  0.1049805  ,  1.605225  ,  1.150513  ,  -25.28432  
  2.730128  ,  7.232666E-02  ,  1.376343  ,  1.049805  ,  -25.09131  
  2.584405  ,  6.896973E-02  ,  0.9796143  ,  0.8789063  ,  -25.67034  
  2.461844  ,  0.1507568  ,  1.895142  ,  0.8422852  ,  -25.67034  
  2.606601  ,  0.1748657  ,  3.164673  ,  1.373291  ,  -23.83675  
  2.56993  ,  0.1602173  ,  3.039551  ,  1.254272  ,  -27.31093  
  2.694421  ,  0.1278687  ,  2.352905  ,  1.239014  ,  -28.27598  
  2.57186  ,  0.1501465  ,  2.432251  ,  1.000977  ,  -29.62705  
  2.709862  ,  0.1669312  ,  2.166748  ,  0.6774902  ,  -27.21442  
  2.751359  ,  0.1669312  ,  2.160645  ,  0.7507324  ,  -29.82006  
  2.827598  ,  0.2191162  ,  3.137207  ,  1.638794  ,  -29.33754  
  2.592126  ,  0.2133179  ,  3.363037  ,  1.580811  ,  -29.33754  
  2.566069  ,  0.2047729  ,  2.850342  ,  1.107788  ,  -28.46899  
  2.619147  ,  0.2041626  ,  2.560425  ,  0.9185791  ,  -30.20608  
  2.700212  ,  0.2670288  ,  3.097534  ,  1.004028  ,  -30.97812  
