  Ex = [mV]  , Ey = [mV]  , Hx = [mV]  ,Hy = [mV]  ,Hz = [mV]  
  -16.86908  ,  -12.63428  ,  -13.18259  ,  -3.83606  ,  22.03369  
  -12.06313  ,  3.936768  ,  -8.202929  ,  -2.392578  ,  24.56665  
  -1.254566  ,  13.61084  ,  -2.412626  ,  -0.4547119  ,  19.07349  
  16.25145  ,  23.80371  ,  5.365681  ,  2.307129  ,  6.652832  
  24.05871  ,  25.39063  ,  10.55765  ,  3.607178  ,  -6.256104  
  21.53028  ,12146,  9.129377  ,  2.987671  ,  -13.18359  
  15.70137  ,  0.1831055  ,  3.24257  ,  1.800537  ,  -9.94873  
  -2.084509  ,  -12.23755  ,  -4.979661  ,  -0.6011963  ,  1.525879  
  -18.90534  ,  -14.98413  ,  -10.4901  ,  -2.883911  ,  15.25879  
  -23.75954  ,  -4.577637  ,  -9.853166  ,  -3.588867  ,  23.28491  
  -15.55661  ,  10.95581  ,  -2.354723  ,  -2.172852  ,  19.74487  
  -0.8202929  ,  20.32471  ,  3.734745  ,  -0.1495361  ,  11.96289  
  15.15129  ,  26.30615  ,  10.61555  ,  2.243042  ,  -1.556396  
  17.98854  ,  19.83643  ,  12.25614  ,  2.716064  ,  -12.29858  
  15.08374  ,  1.159668  ,  4.497135  ,  1.397705  ,  -12.39014  
  7.26683  ,  -8.972168  ,  -2.132761  ,  0.1464844  ,  -4.852295  
  -4.082163  ,  -15.07568  ,  -8.946018  ,  -1.324463  ,  9.82666  
  -8.463492  ,  -8.880615  ,  -9.17763  ,  -1.116943  ,  21.60645  
  -7.691453  ,  8.117676  ,  -1.959052  ,  0.3692627  ,  23.46802  
  -1.119459  ,  19.19556  ,  6.021915  ,  1.61438  ,  14.43481  
  6.369333  ,  24.20044  ,  10.40324  ,  2.178955  ,  4.394531  
  11.55165  ,  23.68164  ,  12.85447  ,  2.093506  ,  -8.331299  
  8.743358  ,  9.58252  ,  9.293436  ,  0.6286621  ,  -14.19067  
  0.7913414  ,  -5.828857  ,  0.5211273  ,  -1.513672  ,  -7.385254  
  -10.5673  ,  -14.4043  ,  -5.992963  ,  -3.378296  ,  2.655029  
  -23.61479  ,  -16.72363  ,  -11.66746  ,  -5.264282  ,  17.08984  
  -25.84405  ,  -6.011963  ,  -11.21389  ,  -5.490112  ,  25.54321  
  -16.30935  ,  10.0708  ,  -3.792648  ,  -3.662109  ,  22.33887  
  4.419931  ,  22.61353  ,  4.458533  ,  -0.4943848  ,  11.23047  
  16.69537  ,  27.16064  ,  9.785612  ,  1.678467  ,  0.7629395  
  20.18886  ,  21.33179  ,  12.08243  ,  2.755737  ,  -10.92529  
  16.01984  ,  2.502441  ,  4.78665  ,  1.525879  ,  -12.08496  
  2.451228  ,  -11.71875  ,  -4.39098  ,  -0.7843018  ,  -1.922607  
  -8.839863  ,  -16.93726  ,  -10.19093  ,  -2.716064  ,  9.460449  
  -16.83048  ,  -12.3291  ,  -12.65181  ,  -4.055786  ,  22.30835  
  -15.29605  ,  5.249023  ,  -6.591295  ,  -3.271484  ,  25.32959  
  -2.644238  ,  18.76831  ,  2.431927  ,  -1.068115  ,  16.8457  
  14.13799  ,  27.00806  ,  10.53835  ,  1.626587  ,  3.204346  
  21.69433  ,  26.9165  ,  14.18624  ,  3.131104  ,  -6.500244  
  22.20581  ,  12.72583  ,  12.39125  ,  3.515625  ,  -13.76343  
  12.76762  ,  -4.02832  ,  3.329424  ,  2.032471  ,  -8.544922  
  -7.093121  ,  -15.28931  ,  -6.099119  ,  -0.8880615  ,  4.241943  
  -19.60018  ,  -16.29639  ,  -10.65416  ,  -2.920532  ,  14.64844  
  -24.21312  ,  -6.195068  ,  -10.5673  ,  -3.915405  ,  23.22388  
  -15.66277  ,  9.429932  ,  -3.078511  ,  -2.618408  ,  20.38574  
  5.17267  ,  21.8811  ,  5.442885  ,  0.2502441  ,  9.82666  
  20.49767  ,  27.09961  ,  12.52635  ,  2.914429  ,  -3.448486  
